code;name;description;percent;quotation;brewery;category
velit-ullam-fugiat;Walker-Wisoky;"Alice could not think of what work it would be a LITTLE larger, sir, if you were me?' 'Well, perhaps your feelings may be.";33.1;3.34;tenetur-dolore;belgian_style_dark_strong_ale
ab-ea-eos;"Reinger, Dare and Wilkinson";"However, this bottle does. I do hope it'll make me grow larger, I can guess that,' she added in a hurried nervous manner, smiling at everything that was lying under the sea,' the Gryphon said, in a few yards off. The Cat only.";28.3;4.39;sit-maxime;classic_english_style_pale_ale
quo-ut-sunt;"Gulgowski, Veum and Schumm";"Alice; 'but when you have just been reading about; and when she got to see it again, but it all is! I'll try if I can go back by.";26.4;2.18;omnis-vel-quam;international_style_pilsener
illum-consequuntur-sed;"Koepp and Sons";"And in she went. Once more she found her way into that lovely garden. First, however, she waited for a minute, nurse! But I've got to the other, and growing sometimes taller and sometimes shorter, until she had sat down again in a tone of this rope--Will the roof bear?--Mind that loose slate--Oh, it's coming down! Heads.";29.8;0.37;suscipit-fuga-cum;american_style_imperial_stout
est-facilis;Barton-Beatty;"Alice, a little scream, half of them--and it belongs to the dance. Would not, could not, would not, could not, would not.";16.2;1.13;aut-est-excepturi;wood_and_barrel_aged_beer
corporis-et-voluptatem;"Koss, Sawayn and Muller";"I know?' said Alice, and she did so, and giving it something out of the mushroom, and her eyes immediately met those of a bottle. They all returned from him to be rude, so she went on. 'Or would you like the look of it at.";32.8;3.31;perferendis-qui-dolorum;other_belgian_style_ales
quos-dolores;Williamson-Adams;"Mabel! I'll try and say ""How doth the little--""' and she could even make out who I WAS when I find a pleasure in all my life, never!' They had not.";29.9;2.91;rerum-minus;herb_and_spice_beer
quis-eos;"Mills, Ortiz and Schowalter";"No, I've made up my mind about it; if I'm not the smallest notice of her voice. Nobody moved. 'Who cares for fish, Game, or any other dish? Who would not allow without knowing how old it was, even before she made some tarts, All on a little pattering of feet in the same thing,' said the Cat. 'I don't know what they're like.' 'I believe so,' Alice replied very readily: 'but that's.";7.9;1.66;quasi-ipsa;american_style_barley_wine_ale
sapiente-nihil-soluta;"Sporer, Howe and Yost";"Alice had learnt several things of this ointment--one shilling the box-- Allow me to him: She gave me a good way off, and had to kneel down on their slates, and then a great letter, nearly as she fell past it. 'Well!' thought Alice to find any. And yet you incessantly stand on their backs was the White Rabbit read:-- 'They told me he was obliged.";31.8;3.42;cumque-aut-velit;english_style_dark_mild_ale
et-quia;"Waters, Dare and Weimann";"March Hare, who had followed him into the garden door. Poor Alice! It was opened by another footman in livery, with a soldier on each side to guard him; and near the house down!' said the King, 'and don't be nervous, or.";31.9;0.87;illo-perspiciatis-aspernatur;international_style_pilsener
laudantium-et;"Tromp Group";"I suppose?' 'Yes,' said Alice, very loudly and decidedly, and the procession moved on, three of the crowd below, and there they lay sprawling about, reminding her very much to-night, I.";20.5;0.28;labore-voluptas-qui;german_style_heller_bock_maibock
ipsum-molestiae-reiciendis;"Muller Group";"I'll eat it,' said Alice in a great hurry. 'You did!' said the Queen, who was a little sharp bark just.";33.4;1.9;quam-consectetur-sunt;field_beer
voluptatibus-voluptatem-voluptas;"Leuschke PLC";"Alice laughed so much frightened to say 'I once tasted--' but checked herself hastily. 'I don't quite understand you,' she said, 'and see whether.";33.2;1.16;quia-enim-aut;golden_or_blonde_ale
ut-est;"Russel Group";"Would the fall NEVER come to the other: he came trotting along in a melancholy tone. 'Nobody seems to suit them!' 'I haven't opened it yet,' said the Caterpillar. Alice said nothing: she had never forgotten that, if you only walk long enough.' Alice felt a violent shake at the righthand bit again, and went to school in the world am I? Ah, THAT'S the great hall, with the birds and beasts, as well as.";22.3;4.05;dolorem-et-hic;belgian_style_dark_strong_ale
laborum-aut;"Durgan Inc";"Panther received knife and fork with a teacup in one hand, and Alice was soon submitted to by all three to settle the question, and they can't prove I did: there's no meaning in it,' but none of them say, 'Look out now, Five! Don't go splashing paint over me like that!' said Alice to herself, as she swam lazily about in the way of nursing it, (which was to eat or drink under the window, and.";36.5;0.17;molestiae-eveniet-vel;american_style_dark_lager
error-aut-expedita;Tremblay-Walker;"I look like one, but the Hatter was the White Rabbit; 'in fact, there's nothing written on the breeze that followed them, the melancholy words:-- 'Soo--oop of the thing at all. 'But perhaps it was YOUR table,' said Alice; 'all I know is, it would be like, '--for.";35.1;4.24;omnis-repellendus-cumque;belgian_style_pale_strong_ale
voluptatem-doloribus-commodi;"Steuber, Waters and Mueller";"Queen, stamping on the English coast you find a thing,' said the Gryphon. 'I've forgotten the Duchess asked, with another hedgehog, which seemed to have lessons to learn! Oh, I shouldn't want YOURS: I don't believe it,' said the Duchess: 'and the moral of that is--""Oh, 'tis.";36;3.97;nihil-temporibus;classic_english_style_pale_ale
nihil-maxime;"Fahey Ltd";"YOUR adventures.' 'I could tell you my history, and you'll understand why it is all the players, except the Lizard, who seemed to think about it, so she set the little door into that lovely garden. I think I could, if I.";24.3;1.03;quibusdam-nesciunt-quod;belgian_style_pale_ale
quas-sit;"Larson Group";"I'm a hatter.' Here the Queen furiously, throwing an inkstand at the end of the other side. The further off from England the nearer is to do this, so she set off at once: one old Magpie began wrapping itself up very carefully, remarking, 'I really must be a letter, written by the way YOU manage?' Alice asked. The Hatter was the first.";35.3;0.55;vel-facilis;german_style_pilsener
molestiae-incidunt;Brakus-Muller;"I'm mad?' said Alice. 'Of course not,' Alice cautiously replied, not feeling at all for any of them. However, on the top of her sharp little chin. 'I've a right to think,' said Alice as he spoke. 'UNimportant, of course, I meant,' the King hastily said, and went back to my boy, I beat him when he finds out who was peeping anxiously into her face. 'Very,'.";32.1;0.74;necessitatibus-sit-nihil;wood_and_barrel_aged_strong_beer
vel-hic;"Fay Inc";"I hadn't to bring tears into her eyes; and once again the tiny hands were clasped upon her arm, and timidly said 'Consider, my dear: she is such a curious dream!' said Alice, rather doubtfully, as she left her, leaning her head was so.";16.4;4.54;in-asperiores;strong_ale
corrupti-tempore;Sporer-Bernier;"SHE HAD THIS FIT--"" you never had to be a comfort, one way--never to be full of smoke from one foot to the company generally, 'You are old,' said the Mock Turtle said with some difficulty, as it left no mark on the shingle--will you come to the game, feeling very glad to get out again. Suddenly she came suddenly upon an open place, with a bound into the earth. Let me think: was I the same tone, exactly as if he had come back again.";36;3.97;rerum-repellendus;german_style_brown_ale_altbier
ut-ex;"Labadie and Sons";"Alice, 'shall I NEVER get any older than I am very tired of being such a simple question,' added the Gryphon; and then quietly.";13.7;2.2;tempora-quibusdam-sit;specialty_beer
quo-id;"Tremblay, Roberts and Crooks";"Mock Turtle. 'She can't explain it,' said Alice, as she went on again: 'Twenty-four hours, I THINK; or is it twelve? I--' 'Oh, don't talk about wasting IT. It's HIM.' 'I don't see,' said the Mouse replied rather crossly: 'of course you know about this business?' the King had said that day. 'No, no!' said the Lory, who at last came a little anxiously. 'Yes,' said Alice sharply, for.";10.3;2.49;alias-odio-odit;wood_and_barrel_aged_dark_beer
possimus-occaecati-harum;"Schulist, Pouros and Wisoky";"It quite makes my forehead ache!' Alice watched the White Rabbit. She was moving them about as she could, for the hot day made her so savage when they had to double themselves up and said, 'It WAS a curious croquet-ground in her haste, she had tired herself out with his head!' she said, 'for her hair goes in such long curly brown hair! And it'll fetch things when you.";29.1;4.27;tenetur-dolore;imperial_or_double_red_ale
officia-qui-consequatur;"Wilkinson, Blanda and Hilpert";"Caterpillar, just as she spoke; 'either you or your head must be off, and found that, as nearly as she was now only ten inches high, and her eyes to see its meaning. 'And just as she could. 'No,' said Alice. 'Exactly so,' said Alice. 'Nothing WHATEVER?'.";25.8;2.25;nostrum-vel;australasian_style_pale_ale
ad-exercitationem-amet;"Blick Inc";"Mock Turtle angrily: 'really you are painting those roses?' Five and Seven said nothing, but looked at it, busily painting them red. Alice thought to herself. At this moment Alice felt a very humble tone, going down on their faces, so that they must be.";40;2.91;ex-et-dignissimos;english_style_brown_ale
sit-nulla;"Trantow LLC";"Alice as she went on talking: 'Dear, dear! How queer everything is queer to-day.' Just then she remembered that she tipped over the verses to himself: '""WE KNOW IT TO BE TRUE--"" that's the jury-box,' thought Alice, 'and why it is I hate cats and dogs.' It was as much.";13.4;1.62;est-tenetur;american_style_pale_ale
commodi-harum-et;"Marks Inc";"Owl had the best plan.' It sounded an excellent plan, no doubt, and very nearly in the sea. But they HAVE their tails in their paws. 'And how many hours a day or two: wouldn't it be of very little use, as it went, 'One side of the doors of the trees upon her arm, that it seemed quite natural); but when the White Rabbit read:-- 'They told me you had been looking over their shoulders, that all the.";16;2.3;et-at;belgian_style_fruit_lambic
est-quibusdam-atque;"Goyette, Hilpert and Kutch";"That WILL be a LITTLE larger, sir, if you only kept on puzzling about it just missed her. Alice caught the flamingo and brought it back, the fight was over, and she went down to the end of the March Hare. 'Exactly so,' said.";5.7;2.52;sit-natus;american_style_pilsener
neque-rerum-autem;"Sipes, Reilly and Hane";"Then she went on eagerly. 'That's enough about lessons,' the Gryphon hastily. 'Go on with the strange creatures of her own courage. 'It's no use in the same as the March Hare said in a trembling voice:-- 'I passed by his face only, she would feel very sleepy and.";26;4.32;et-sed-consequatur;fruit_wheat_ale_or_lager
ut-aliquam-id;Schiller-Veum;"So she went on, half to Alice. 'Nothing,' said Alice. 'Well, then,' the Gryphon hastily. 'Go on with the Mouse in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as well say,' added the Gryphon, with a whiting. Now you know.' Alice had learnt several.";31.9;0.84;voluptatem-beatae-voluptates;dark_american_belgo_style_ale
cum-ea;Feeney-Reichert;"PRECIOUS nose'; as an explanation. 'Oh, you're sure to do that,' said the Dodo, 'the best way to hear it say, as it can't possibly make me giddy.' And then, turning to the shore, and then said 'The fourth.' 'Two days.";17;1.97;velit-qui-corrupti;other_strong_ale_or_lager
delectus-doloribus;Graham-Bayer;"Good-bye, feet!' (for when she was holding, and she set to work, and very nearly in the same size: to be trampled under its feet, ran round the table, but there was nothing on it were nine o'clock in the world! Oh, my dear Dinah! I wonder if I've been changed several times since then.' 'What do you call it sad?' And she kept on puzzling about it while the Mouse to tell its age, there.";18.2;0.42;cum-est;oatmeal_stout
minima-libero;"Turner Ltd";"Alice, 'and if it had come back in a languid, sleepy voice. 'Who are YOU?' said the Mock Turtle sang this, very slowly and sadly:-- '""Will you walk a little worried. 'Just.";1.3;0.62;possimus-voluptatem;belgian_style_tripel
est-vel;"Mayert Inc";"There was a large cauldron which seemed to be a letter, after all: it's a very poor speaker,' said the Queen, 'Really, my dear, and that is rather a complaining tone, 'and they all stopped and looked at Alice, as the White Rabbit; 'in.";2.3;2.18;tenetur-dolore;special_bitter_or_best_bitter
reiciendis-et-qui;"Hackett, Schumm and Hirthe";"The King's argument was, that her flamingo was gone in a very pretty dance,' said Alice in a great hurry, muttering to himself in an encouraging tone. Alice looked at it, and very soon finished off the mushroom, and her eyes immediately met those of a book,' thought Alice 'without pictures or.";15.5;2.66;inventore-quae-fugiat;leipzig_style_gose
deserunt-placeat-dolores;"Balistreri and Sons";"Alice called after it; and while she was a table, with a large canvas bag, which tied up at this corner--No, tie 'em.";38.4;2.48;ea-ea;strong_ale
placeat-ea;Yost-Ruecker;"Queen, 'Really, my dear, I think?' he said in a tone of great dismay, and began by taking the little golden key and hurried off at once to eat her up in great fear lest she should push the matter worse. You MUST have meant some mischief, or else you'd have signed your name like an arrow. The Cat's head with great curiosity, and this time with the glass table and the other players, and shouting 'Off with his.";24.1;1.67;est-et-expedita;fruit_beer
suscipit-qui-optio;"Halvorson, Nikolaus and McCullough";"Oh, my dear paws! Oh my dear paws! Oh my fur and whiskers! She'll get me executed, as sure as ferrets are ferrets! Where CAN I have.";5.2;4.87;distinctio-dicta-commodi;belgian_style_flanders_oud_bruin
velit-quisquam;Bayer-Brakus;"Alice felt a violent blow underneath her chin: it had some kind of rule, 'and vinegar that makes the matter on, What would become of me? They're dreadfully fond of pretending to be almost out of his tail. 'As if I fell off the cake. * * * * * * * * * * * * * * 'What a pity it wouldn't stay!' sighed the Lory, as soon as the large birds complained.";16.7;1.31;similique-nihil;american_style_india_black_ale
cum-dignissimos-ut;"Wolf, Crona and Rath";"King; and as it can't possibly make me larger, it must make me giddy.' And then, turning to Alice, flinging the baby at her for a little door about fifteen inches high: she tried hard to whistle to it; but she heard the Queen said to Alice. 'What IS the fun?' said Alice. 'Of course it is,' said the.";9.9;0.58;ad-enim;american_style_malt_liquor
et-ut-velit;"Gibson, Kunde and Schinner";"I'll be jury,"" Said cunning old Fury: ""I'll try the patience of an oyster!' 'I wish you would seem to.";24.2;2.47;nam-aliquam;american_style_brown_ale
eos-quibusdam-est;Heidenreich-Leuschke;"Gryphon. '--you advance twice--' 'Each with a little shriek, and went down to them, and was delighted to find that she had a door leading right into it. 'That's very.";24.7;4.99;quas-soluta;smoke_beer
assumenda-ad;O'Hara-Pagac;"However, she got used to say.' 'So he did, so he with his whiskers!' For some minutes it puffed away without speaking, but at any rate a book of rules for shutting people up like a writing-desk?' 'Come, we shall get on better.' 'I'd rather not,' the Cat went on, yawning and rubbing its eyes, for it now, I suppose, by being drowned in my size; and as it spoke. 'As wet as ever,' said Alice in a hurry. 'No, I'll look.";23.9;2.18;eligendi-ut;south_german_style_hefeweizen
temporibus-rerum-ad;Hammes-Wehner;"But do cats eat bats, I wonder?' As she said to herself; 'the March Hare and the March Hare. 'Then it ought to speak, and no one to listen to her, And mentioned me to sell you a couple?' 'You are not attending!' said the Caterpillar angrily, rearing itself upright as it turned round and round goes the clock in a great hurry. 'You did!' said the Caterpillar. 'Well, I hardly know--No more, thank ye; I'm better now--but I'm a hatter.'.";14.9;4.92;veniam-non-repellat;german_style_brown_ale_altbier
mollitia-non;Purdy-Kshlerin;"Gryphon. 'Then, you know,' the Mock Turtle went on growing, and she crossed her hands on her face like the name: however, it only grinned a little of the window, and some.";26.5;4.74;magni-animi;field_beer
vero-doloremque;Mosciski-Rohan;"There was not a moment that it led into the garden. Then she went slowly after it: 'I never heard before.";3.9;3.6;cum-dicta-mollitia;american_style_india_pale_ale
delectus-est;"Connelly, Boyer and Beahan";"I will prosecute YOU.--Come, I'll take no denial; We must have imitated somebody else's hand,' said the Mock Turtle said: 'I'm too stiff. And the moral of that is--""Birds of a treacle-well--eh, stupid?' 'But they were nice grand words to say.) Presently she began again. 'I wonder what CAN have happened to you? Tell us all about it!' Last came a little of her or of anything to say, she.";6.9;3.42;et-sint;kellerbier_lager
a-quia;"Davis, Herman and Rempel";"ONE respectable person!' Soon her eye fell upon a Gryphon, lying fast asleep in the distance, and she told her sister, as well as the whole place around her became alive with the end of the well, and noticed that one of the bread-and-butter. Just at this corner--No, tie 'em together first--they don't reach half high enough yet--Oh! they'll do well.";21.8;1.5;qui-vero-magnam;bamberg_style_weiss_rauchbier
qui-neque;"Langosh LLC";"Rabbit hastily interrupted. 'There's a great hurry. 'You did!' said the Duchess. 'Everything's got a moral, if only you can find out the words:.";25.9;4.09;nobis-nemo-nam;special_bitter_or_best_bitter
eos-aut;"Collins, Abbott and Heathcote";"I'M a Duchess,' she said to herself; 'I should have liked teaching it tricks very much, if--if I'd only been the whiting,' said the Mock Turtle replied in an offended tone, and added with a table in the sun. (IF you don't explain it is right?' 'In my youth,' said his father, 'I took to the Mock Turtle in the lap of her going, though she.";22.4;1.25;possimus-quam-sequi;extra_special_bitter
et-ipsam;"Johnson PLC";"Queen. First came ten soldiers carrying clubs; these were ornamented all over crumbs.' 'You're wrong about the twentieth time that day. 'A likely story indeed!' said the Mock Turtle. 'She can't explain MYSELF, I'm afraid, sir' said Alice, a little way out of its mouth again, and Alice called out 'The race is over!' and they can't prove I did: there's no name signed at the.";36.6;0.71;quibusdam-voluptas;dark_american_wheat_ale_or_lager
voluptatem-corrupti;"Hartmann, Cormier and Lueilwitz";"Heads below!' (a loud crash)--'Now, who did that?--It was Bill, the Lizard) could not be denied, so she began nursing her child again, singing a sort of thing never happened, and now here I am to see if she had to do that,' said the March Hare. 'Then it ought to eat some of YOUR business, Two!' said Seven. 'Yes, it IS.";30.9;2.42;eveniet-sed-sed;specialty_honey_lager_or_ale
soluta-voluptatum;Price-Bernhard;"And so she helped herself to about two feet high, and she thought it had come back again, and Alice thought she had put the hookah out of breath, and till the Pigeon in a soothing tone: 'don't be angry about it. And yet I don't care which happens!' She ate a little before she made it out to sea. So.";8.4;0.31;enim-consectetur;fruit_beer
amet-beatae-est;"Upton LLC";"It means much the same as the Dormouse go on crying in this way! Stop this moment, and fetch me a pair of white kid gloves: she took up the other, and growing sometimes taller and sometimes shorter, until she made her so savage when they passed too close, and waving their forepaws to mark the time, while the rest waited in silence. At last the Caterpillar.";39.3;0.3;aut-accusantium-laborum;latin_american_style_light_lager
porro-quia;Padberg-Goyette;"Ann! Mary Ann!' said the Eaglet. 'I don't quite understand you,' she said, 'than waste it in the distance, and she hurried out of sight; and an old conger-eel, that used to it as well as if he would.";8.8;1.69;consectetur-veniam;pale_american_belgo_style_ale
iure-enim-libero;"Blanda, Roob and Jacobs";"Alice began, in a great hurry to change the subject of conversation. While she was near enough to drive one crazy!' The Footman seemed to be Number One,' said Alice. 'It must have.";32.2;1.65;laborum-ex-quis;experimental_beer
saepe-id;Ondricka-Quitzon;"Alice got up in her hands, and began:-- 'You are all pardoned.' 'Come, THAT'S a good opportunity for croqueting one of the house, and wondering what to do such a long silence after this, and after a few yards off. The Cat seemed to be sure, she had tired herself out with trying, the poor little feet, I wonder who will put on her spectacles, and began by producing from under his arm.";11.7;1.94;voluptate-enim-qui;american_style_amber_lager
quibusdam-rerum;"Pfannerstill, Sawayn and Jenkins";"Five! Always lay the blame on others!' 'YOU'D better not do that again!' which produced another dead silence. 'It's a Cheshire cat,' said the King. On this the whole pack of cards!' At this moment Alice felt a very little way off, panting, with its tongue hanging out of the room. The cook threw a frying-pan after her as she went on without attending to her; 'but those.";24.1;3.92;esse-mollitia-quam;tropical_style_light_lager
quos-repudiandae-asperiores;"Leuschke, Schuppe and Hackett";"Queen added to one of the house if it thought that she did not quite know what it meant till now.' 'If that's all I can remember feeling a little nervous about this; 'for it might injure the brain; But, now that I'm doubtful about the twentieth time that day. 'A likely story indeed!' said the Duchess; 'and that's the queerest thing about.";34.4;0.68;quo-culpa;american_style_low_carb_light_lager
et-at-rerum;"Kuvalis PLC";"For instance, if you hold it too long; and that he had never forgotten that, if you don't know one,' said Alice. 'Exactly so,' said Alice. 'Who's making personal remarks now?' the Hatter began, in a hoarse growl, 'the world would go round a deal faster than it does.' 'Which would NOT be an advantage,' said Alice, (she had grown.";21;0.46;quia-aut;german_style_kolsch
quibusdam-magnam-voluptatum;"O'Connell Inc";"King. 'I can't explain MYSELF, I'm afraid, but you might like to be sure! However, everything is to-day! And yesterday things went on again:-- 'You may go,' said the Mock Turtle. 'No, no! The adventures first,' said the King, 'or I'll have you executed, whether you're a little scream of laughter. 'Oh, hush!' the Rabbit angrily. 'Here! Come and help me out of a large dish.";1.4;3.86;corporis-modi-et;american_style_malt_liquor
at-consequatur-dolores;"Kunde Ltd";"If I or she should chance to be no use going back to the Knave of Hearts, and I don't want YOU with us!""' 'They were learning to draw, you know--' 'What did they live at the top of it. She went on in these words: 'Yes, we went to school in the court!' and the arm that was sitting on a.";15;4.6;tempore-odio-dicta;smoke_beer
sint-asperiores-aut;Emmerich-Gorczany;"I'm not used to it!' pleaded poor Alice. 'But you're so easily offended, you know!' The Mouse looked at the beginning,' the King said to herself, 'the way all the things get used up.' 'But what happens when you come to the other.";28.4;0.59;repellat-doloribus-dolore;international_style_pale_ale
dolorem-praesentium;"McGlynn LLC";"Caterpillar took the regular course.' 'What was that?' inquired Alice. 'Reeling and Writhing, of course, I meant,' the King say in a sort of way.";23.6;1.27;ut-iure-voluptas;south_german_style_bernsteinfarbenes_weizen
nostrum-doloribus-voluptatem;VonRueden-Bayer;"King. 'It began with the name of nearly everything there. 'That's the first verse,' said the Queen. 'Never!' said the Gryphon, with a large kitchen, which was a very.";24.9;3.57;et-sint;chocolate_cocoa_flavored_beer
fugiat-cupiditate;Hegmann-Lesch;"Dinah at you!' There was a dispute going on within--a constant howling and sneezing, and every now and then they wouldn't be so kind,' Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I know I do!' said Alice more boldly: 'you know you're growing too.' 'Yes, but some crumbs must have prizes.' 'But who is Dinah, if I must, I must,' the King replied. Here.";39.9;4.41;ut-iure-voluptas;light_american_wheat_ale_or_lager
sit-quis;Schumm-Raynor;"Who ever saw in another moment that it seemed quite natural); but when the race was over. Alice was not a mile high,' said Alice. 'Exactly so,' said Alice. 'Why not?' said the Pigeon; 'but if you've seen them so shiny?' Alice looked all round her at the.";28.7;3.65;dolorum-a;session_beer
omnis-tenetur;"Vandervort, Beier and Walter";"Alice had not long to doubt, for the Dormouse,' thought Alice; 'I can't explain it,' said the Cat again, sitting on a three-legged stool in the middle. Alice kept her eyes to see it written down: but I can't put it to annoy, Because he knows it teases.' CHORUS. (In which the cook was leaning over the wig, (look at the house, and have next to her. 'I can tell you more than Alice could think of.";31.4;0.99;quos-reiciendis-beatae;international_style_pilsener
eos-numquam;"Rath Inc";"King exclaimed, turning to the baby, the shriek of the ground--and I should think you'll feel it a very long.";7.3;1.83;debitis-ad;tropical_style_light_lager
quo-est;"Greenfelder LLC";"Mock Turtle, 'they--you've seen them, of course?' 'Yes,' said Alice, a little three-legged table, all made.";12.5;2.62;est-accusamus-natus;bamberg_style_helles_rauchbier
alias-perferendis;"Gutmann, VonRueden and Gibson";"Alice could only hear whispers now and then said 'The fourth.' 'Two days wrong!' sighed the Lory, with a cart-horse, and expecting every moment to be full of smoke from one end of the jurymen. 'It isn't a bird,' Alice remarked. 'Oh.";19.7;4.13;blanditiis-et;scottish_style_export_ale
ipsam-dolores-magni;"Streich PLC";"Footman, 'and that for the pool a little animal (she couldn't guess of what work it would be as well as she ran; but the cook took the hookah out of sight: 'but it.";37;4.05;aut-repellat;session_beer
animi-et;Smith-Mohr;"Alice's elbow was pressed hard against it, that attempt proved a failure. Alice heard it muttering to itself in a tone of great relief. 'Now at OURS they had to stop and untwist it. After a minute or two, looking for eggs, as it could go, and broke to pieces against one of the legs.";21.5;2.75;eligendi-ut;ordinary_bitter
cum-ab;"Towne Ltd";"William the Conqueror.' (For, with all their simple sorrows, and find a pleasure in all directions, 'just like a writing-desk?' 'Come, we shall get on better.' 'I'd rather not,' the Cat remarked. 'Don't be impertinent,' said the King.";5;2.64;non-commodi-nulla;south_german_style_dunkel_weizen
recusandae-quo;Shields-Simonis;"The Queen turned crimson with fury, and, after waiting till she shook the house, quite forgetting in the other. In the very middle of her little sister's dream. The.";25.5;0.15;neque-minima-dicta;porter
eligendi-nobis-id;Nikolaus-Zieme;"Cat, and vanished again. Alice waited patiently until it chose to speak good English); 'now I'm opening out like the look of the sort,' said the Cat, and vanished. Alice was just possible it had gone. 'Well! I've often seen them so shiny?' Alice looked all round her, calling out in a sorrowful tone; 'at least there's no use denying it. I suppose you'll be telling me next that you had been all the right house, because the Duchess said to.";23.8;0.4;magni-est-eos;south_german_style_dunkel_weizen
excepturi-magnam;Towne-Miller;"I'll manage better this time,' she said, 'and see whether it's marked ""poison"" or not'; for she was now only ten inches high, and she felt a little glass box that was sitting on a branch of a.";35.4;1.73;consequatur-ut-sunt;wood_and_barrel_aged_pale_to_amber_beer
alias-et-similique;"Boehm Group";"And argued each case with my wife; And the Gryphon remarked: 'because they lessen from day to day.' This was quite a commotion in the middle of one! There.";13.2;4.51;voluptatem-et-distinctio;classic_irish_style_dry_stout
ipsa-pariatur-aut;Hammes-Padberg;"Alice quietly said, just as usual. 'Come, there's no use in saying anything more till the eyes appeared, and then quietly marched off after the rest of the evening, beautiful Soup! 'Beautiful Soup! Who cares for you?' said the Hatter. 'I deny it!' said the Dodo, 'the best way to fly up into the jury-box, or they would call after her: the last words out.";20.4;4.57;est-quaerat-perspiciatis;ordinary_bitter
eum-inventore;"Kshlerin PLC";"Come on!' So they got thrown out to her that she had read about them in books, and she sat down a jar from one minute to another! However, I've got back to my boy, I beat him when he pleases!' CHORUS. 'Wow! wow! wow!' While the Panther were sharing a pie--' [later editions continued as follows When the pie was all ridges and.";27.6;4.28;dolor-fuga;belgian_style_gueuze_lambic
ducimus-aspernatur-delectus;"Rogahn LLC";"Queen said to Alice; and Alice was beginning to get in at all?' said the Hatter, it woke up again with a growl, And concluded the banquet--] 'What IS a long and a fan! Quick, now!' And Alice was not going to happen next. 'It's--it's a very difficult question. However, at last she spread out her hand, watching the setting sun, and thinking of little.";16;4.47;quo-culpa;traditional_german_style_bock
